id,dispersion,max_weight,top1_pos
w0ddn,7.759358027215058e-07,1.0,6
wiype,8.287306627607904e-07,1.0,5
wg26m,5.7014563026314136e-06,0.9999997615814209,14
k5h8z,8.15857845282153e-07,1.0,3
z919l,2.2222417101147585e-05,0.9999991655349731,14
v3j95,2.437870716676116e-05,0.999998927116394,5
i79q1,4.710471159796725e-07,1.0,5
fq6hh,0.2625964879989624,0.9554943442344666,6
xnu18,1.0356766324548516e-06,1.0,4
crmv1,1.0315174222341739e-05,0.9999996423721313,6
i3n1j,4.175946060058777e-07,1.0,0
cmmbm,5.763534500147216e-05,0.9999974966049194,6
kyapk,2.3971774680831004e-06,1.0,3
vo0tm,4.747463208332192e-06,0.9999998807907104,8
gqptj,4.926921093328929e-08,1.0,2
qymqz,0.00012693701137322932,0.9999939203262329,5
b77rw,1.6976211554720066e-05,0.9999994039535522,3
di6ut,5.829899600939825e-05,0.9999971389770508,1
z5pl6,1.2475718449422857e-06,1.0,3
qopoy,3.408451220821007e-06,0.9999998807907104,8
eqny3,1.4176414012908936,0.5729515552520752,16
u22l7,8.995647476695012e-06,0.9999996423721313,8
woik3,0.004397566895931959,0.9996974468231201,7
fh1ro,1.9003842055553832e-07,1.0,7
ahlpc,6.461875159402553e-07,1.0,9
v1u3k,4.59728435089346e-05,0.9999979734420776,5
j1ebj,0.0009096656576730311,0.9999521970748901,6
wa2xh,5.52278015675256e-06,0.9999997615814209,10
cq5wx,5.19799050380243e-06,0.9999997615814209,3
gjhzj,0.11646348237991333,0.9843175411224365,7
n731s,3.830188234132947e-06,0.9999998807907104,5
z8j8n,0.0004092461022082716,0.9999791383743286,4
smm9z,4.823192739422666e-06,0.9999998807907104,2
y09e1,0.35221391916275024,0.9336647391319275,6
ppgof,0.0003823411534540355,0.9999785423278809,14
vskby,1.1513964636833407e-05,0.9999995231628418,1
prf98,7.968400313984603e-05,0.9999963045120239,8
qhhjr,1.7940315046871547e-06,1.0,9
cluc1,5.7883480621967465e-06,0.9999997615814209,1
fumf2,2.219529733338277e-06,0.9999998807907104,3
fwdm3,0.19912566244602203,0.9690519571304321,7
bfw8l,5.264922037895303e-06,0.9999997615814209,4
vianu,1.1971398635068908e-05,0.9999995231628418,2
sowh3,2.5375409222760936e-06,1.0,2
y52j8,1.0795838534249924e-05,0.9999996423721313,13
uc3bu,2.8263762942515314e-05,0.9999988079071045,6
mvaax,2.837098804775451e-07,1.0,3
g5emr,2.461796157149365e-06,1.0,3
zqg7k,1.963113760439228e-07,1.0,0
a2fks,6.895862952660536e-06,0.9999997615814209,4
b3t64,1.708562876956421e-06,1.0,3
zru13,5.3167957958066836e-05,0.999997615814209,5
egloy,3.380176622158615e-06,0.9999998807907104,8
ftcot,7.49179525882937e-06,0.9999997615814209,0
n51u2,3.0859914659231436e-06,0.9999998807907104,8
lssm2,9.433435479877517e-06,0.9999996423721313,5
gii6j,2.822228634613566e-05,0.9999986886978149,1
u1nls,4.288818672648631e-06,0.9999998807907104,9
fdost,7.450271937159414e-07,1.0,3
mma4u,2.0302572011132725e-05,0.9999991655349731,1
vp431,1.2793028645319282e-06,1.0,4
dxxz7,3.982373527833261e-06,0.9999997615814209,6
b7wgn,5.262664672045503e-06,0.9999997615814209,2
l2jo0,6.291730642260518e-06,0.9999997615814209,5
c5j6j,4.988760701962747e-05,0.9999978542327881,3
fvc9h,6.160340717542567e-07,1.0,3
dy20l,1.8903931049862877e-05,0.9999992847442627,13
lv4n9,0.013641968369483948,0.9989275336265564,6
l6aoh,0.005442753434181213,0.9995869994163513,4
gt79d,3.072920264912682e-07,1.0,0
vhxfg,1.3700451745535247e-05,0.9999994039535522,2
dtnec,1.8109230950358324e-05,0.9999991655349731,1
khzfh,3.235988970118342e-06,0.9999998807907104,6
r4opy,1.2582990166265517e-05,0.9999995231628418,8
euivz,0.00025971030117943883,0.999985933303833,0
uc3a4,7.071834033922642e-07,1.0,6
v9t4b,8.356395397868255e-08,1.0,8
fwtln,3.6407820402928337e-07,1.0,0
tqnx1,1.0593468005026807e-06,1.0,7
f2u7t,6.271890924836043e-06,0.9999997615814209,1
xgzxo,0.44688114523887634,0.9070866703987122,6
nwmea,1.7108361589635024e-06,1.0,1
ladtq,2.0167952641259035e-07,1.0,2
sr15l,2.786268487398047e-05,0.9999988079071045,4
lgnxr,4.602741228154628e-06,0.9999997615814209,0
nfj5a,1.0085306712426245e-05,0.9999996423721313,5
piqyp,8.688368211551278e-07,1.0,0
n5ma1,7.756295872241026e-07,1.0,6
pcaje,1.2757575511932373,0.5355703234672546,14
dqxgr,5.707677701138891e-05,0.9999973773956299,3
p1yae,6.659403879893944e-05,0.9999970197677612,9
wb0cg,2.6741749024949968e-05,0.9999988079071045,3
hsovd,1.0015605688095093,0.5250036716461182,6
ipjjz,4.711669316748157e-05,0.9999978542327881,12
baj05,1.0407017725810874e-05,0.9999996423721313,9
rmtvs,0.21546855568885803,0.9752057790756226,20
c8ns0,9.522593609290197e-05,0.9999955892562866,7
heqfa,2.899992250604555e-05,0.9999986886978149,7
cwp9c,0.023115523159503937,0.9981549382209778,7
qxs04,1.5671768778702244e-05,0.9999995231628418,5
mkisc,6.700137419102248e-06,0.9999997615814209,3
wete2,1.4317291970655788e-05,0.9999994039535522,8
ao0lu,0.004991314839571714,0.9996979236602783,5
t4krf,1.2524404155556113e-05,0.9999994039535522,16
d8eym,0.0037227373104542494,0.9997507929801941,7
u9u8z,0.001280162250623107,0.999915599822998,5
in6r5,2.27257714868756e-06,0.9999998807907104,8
fejlk,3.208447651559254e-06,0.9999998807907104,11
ebspk,4.3874115362996235e-06,0.9999998807907104,6
tlork,0.00011440672096796334,0.9999948740005493,7
y476u,2.3073955617292086e-06,0.9999998807907104,5
ginbb,2.814201798173599e-05,0.9999986886978149,1
xhs91,0.03144203498959541,0.9973657727241516,12
