id,dispersion,max_weight,top1_pos
tgefj,7.444745278917253e-06,0.9999996423721313,6
rn6ju,0.46081775426864624,0.914466917514801,14
x0mfz,0.9391317367553711,0.6442357897758484,4
cga3n,3.310704050818458e-05,0.9999984502792358,4
my4rw,7.063226348691387e-06,0.9999996423721313,5
idg77,1.1919747521460522e-05,0.9999995231628418,13
uavue,0.1817774474620819,0.9798946976661682,11
pub59,1.1845970959711849e-07,1.0,0
kf4wd,9.658930366640561e-08,1.0,7
odsek,1.1626748630533257e-07,1.0,6
w8qp5,5.0815881280641406e-08,1.0,5
lle5b,1.5995977875604694e-08,1.0,0
r7pwv,7.623824330948992e-06,0.9999996423721313,1
e5dhd,0.00021207133249845356,0.9999880790710449,5
kwywo,2.566275270510232e-06,0.9999998807907104,54
cmhvh,0.00020362129725981504,0.9999885559082031,4
hbws9,1.6012510968721472e-05,0.9999992847442627,10
yu64g,1.8112468751496635e-05,0.9999991655349731,8
zc7ao,3.551691406755708e-06,0.9999998807907104,7
cmn86,5.3951101364191345e-08,1.0,0
r9fja,8.522996722604148e-06,0.9999996423721313,10
e87nl,3.094940552728076e-07,1.0,6
wsloa,9.0702815214172e-06,0.9999996423721313,5
tay16,2.3222915842779912e-05,0.999998927116394,4
b5z8n,5.3150849055327853e-08,1.0,8
ca8ei,3.986314212056641e-08,1.0,7
cmwh5,6.643856664823033e-08,1.0,7
w0ddn,9.422031439498824e-07,1.0,6
wiype,7.68700847402215e-05,0.9999960660934448,5
wg26m,6.643856664823033e-08,1.0,14
k5h8z,8.764770427660551e-06,0.9999996423721313,3
z919l,0.0018430338241159916,0.9998904466629028,12
v3j95,2.5155463845294435e-07,1.0,5
i79q1,1.6973534002318047e-05,0.9999991655349731,5
fq6hh,0.029901769012212753,0.9969483017921448,6
xnu18,0.0002499255642760545,0.9999858140945435,4
crmv1,2.0775933080585673e-06,0.9999998807907104,6
i3n1j,6.643856131915982e-09,1.0,0
cmmbm,3.927800662495429e-06,0.9999998807907104,6
kyapk,1.773579242581036e-06,0.9999998807907104,3
vo0tm,3.2465163712913636e-06,0.9999998807907104,8
gqptj,3.325599706727189e-08,1.0,2
qymqz,3.986314212056641e-08,1.0,5
b77rw,1.3713274711335544e-06,1.0,3
di6ut,5.2624131058109924e-05,0.9999973773956299,1
z5pl6,6.297999277649069e-08,1.0,3
qopoy,1.5809784599696286e-05,0.9999992847442627,8
eqny3,2.0245139239705168e-05,0.9999991655349731,1
u22l7,2.189629230997525e-05,0.999998927116394,8
woik3,0.5538046360015869,0.8713383674621582,4
fh1ro,1.1294555690710695e-07,1.0,7
ahlpc,4.474228717299411e-06,0.9999998807907104,9
v1u3k,4.312521014071535e-06,0.9999997615814209,5
j1ebj,2.191823398334236e-07,1.0,6
wa2xh,3.823127826763084e-06,0.9999998807907104,10
cq5wx,2.6199466446996666e-05,0.9999988079071045,3
gjhzj,0.1349271982908249,0.9811561107635498,7
n731s,6.676075281575322e-05,0.999996542930603,5
z8j8n,3.654121272234079e-08,1.0,4
smm9z,2.2542525357494014e-07,1.0,2
y09e1,0.08064568042755127,0.9900222420692444,6
ppgof,0.015053652226924896,0.9987903237342834,12
vskby,1.2811849046556745e-05,0.9999994039535522,1
prf98,9.226811926055234e-06,0.9999996423721313,8
qhhjr,1.3943959231710323e-07,1.0,9
cluc1,3.37100682372693e-05,0.9999983310699463,1
fumf2,0.00019950208661612123,0.9999887943267822,3
fwdm3,0.17166893184185028,0.97443026304245,7
bfw8l,2.7549469905352453e-06,0.9999998807907104,4
vianu,5.61985825697775e-06,0.9999997615814209,2
sowh3,7.520169674535282e-06,0.9999996423721313,2
y52j8,3.7051929666631622e-06,0.9999998807907104,13
uc3bu,0.0006122745689935982,0.9999620914459229,6
mvaax,3.329806474994257e-08,1.0,3
g5emr,4.179657480563037e-05,0.9999979734420776,3
zqg7k,6.643856131915982e-09,1.0,0
a2fks,1.5766663352678734e-07,1.0,4
b3t64,3.953633154196723e-07,1.0,3
zru13,2.183309152314905e-05,0.999998927116394,5
egloy,1.320039518759586e-05,0.9999994039535522,8
ftcot,2.705402721403516e-06,0.9999998807907104,0
n51u2,7.650811312487349e-06,0.9999996423721313,8
lssm2,2.7052055884269066e-05,0.9999986886978149,5
gii6j,8.600843102612998e-06,0.9999996423721313,1
u1nls,5.394570479211325e-08,1.0,9
fdost,6.727078925905516e-06,0.9999997615814209,3
mma4u,2.127573225152446e-06,0.9999998807907104,1
vp431,0.00014770573761779815,0.9999920129776001,4
dxxz7,4.3053551053162664e-05,0.9999978542327881,6
b7wgn,6.919640327396337e-08,1.0,2
l2jo0,4.7082539822440594e-05,0.999997615814209,5
c5j6j,9.08359481854859e-07,1.0,3
fvc9h,1.3250241863715928e-06,1.0,3
dy20l,6.767381819372531e-06,0.9999997615814209,13
lv4n9,1.136559247970581,0.6371321678161621,3
l6aoh,0.3879908323287964,0.9244996905326843,3
gt79d,6.643856131915982e-09,1.0,0
vhxfg,9.298732379647845e-07,1.0,2
dtnec,3.9838858356233686e-05,0.9999980926513672,1
khzfh,5.1763831834250595e-06,0.9999997615814209,6
r4opy,5.856758070876822e-05,0.9999970197677612,8
euivz,6.59061515762005e-06,0.9999997615814209,0
uc3a4,6.4779499098222e-07,1.0,6
v9t4b,5.3150849055327853e-08,1.0,8
fwtln,1.3249417861516122e-05,0.9999994039535522,0
tqnx1,0.0021601752378046513,0.9998469352722168,7
f2u7t,3.425754357522237e-06,0.9999998807907104,1
xgzxo,0.23425021767616272,0.9617453217506409,6
nwmea,5.433845944935456e-05,0.9999972581863403,1
ladtq,1.8749911987470114e-06,1.0,2
sr15l,0.0006697739008814096,0.9999581575393677,4
lgnxr,2.0015843915643927e-07,1.0,0
nfj5a,2.4577253498136997e-05,0.9999988079071045,5
piqyp,9.965784641963182e-09,1.0,0
n5ma1,7.920824828033801e-06,0.9999996423721313,6
pcaje,0.02314106747508049,0.9980679154396057,15
dqxgr,6.280582454110117e-08,1.0,3
p1yae,5.7038661793740175e-08,1.0,9
wb0cg,3.610986709645658e-08,1.0,3
hsovd,0.044780101627111435,0.9950830936431885,6
ipjjz,6.049846490441269e-08,1.0,12
baj05,7.704846893830108e-07,1.0,9
rmtvs,0.0007910561980679631,0.9999498128890991,1
c8ns0,6.311663725000471e-08,1.0,7
heqfa,1.0297976871243009e-07,1.0,7
cwp9c,0.7308118343353271,0.8214308023452759,4
qxs04,1.661888563830871e-05,0.9999992847442627,5
mkisc,5.4362055379897356e-05,0.9999972581863403,3
wete2,1.6308666090480983e-05,0.9999992847442627,8
ao0lu,2.1499715785466833e-07,1.0,5
t4krf,0.22868628799915314,0.9674285650253296,14
d8eym,0.24072425067424774,0.9603425860404968,4
u9u8z,0.9942547082901001,0.544776439666748,9
in6r5,9.084823432203848e-06,0.9999996423721313,8
fejlk,7.529934009653516e-06,0.9999997615814209,11
ebspk,4.7276757868530694e-06,0.9999997615814209,6
tlork,4.650700091701765e-08,1.0,7
y476u,5.441205939860083e-05,0.9999972581863403,5
ginbb,3.2725993150961585e-06,0.9999998807907104,1
xhs91,2.7205629521631636e-05,0.9999988079071045,5
